scenario_id,frame_id,timestamp,object_id,object_class,x,y,vx,vy,length,width,heading,ego_vx,ego_vy,ground_truth
0,0,0.0,0,car,15.0,3.5,-4.058226521123505,0.0,4.5,1.8,0.0,15.0,0.0,
0,0,0.0,1,pedestrian,71.33676423884236,6.00735041081603,-4.875454692978165,-0.029768437262659722,0.5,0.5,0.0,15.0,0.0,
0,0,0.0,2,car,91.21179866183222,3.0211675216939553,22.9104645308332,-0.03395148070360132,4.5,1.8,0.0,15.0,0.0,
0,1,0.1,0,car,14.508248101599326,3.53687507840825,-4.1061706511649545,0.043922515065363626,4.5,1.8,0.0,15.0,0.0,
0,1,0.1,1,pedestrian,70.84422617844592,5.988864174461503,-4.909501170198362,0.06112706693370151,0.5,0.5,0.0,15.0,0.0,
0,1,0.1,2,car,93.48739216670866,2.9783347394776447,22.892857853308787,0.02661545927766744,4.5,1.8,0.0,15.0,0.0,
0,2,0.2,0,car,14.134175442919238,3.5781483395678486,-4.08462960101456,0.10708238004352306,4.5,1.8,0.0,15.0,0.0,
0,2,0.2,1,pedestrian,70.31263455978763,5.937639901554349,-4.950189806610756,0.030798971128774784,0.5,0.5,0.0,15.0,0.0,
0,2,0.2,2,car,95.88957518131163,2.966939993712157,22.85085002946066,-0.04122406078456198,4.5,1.8,0.0,15.0,0.0,
0,3,0.30000000000000004,0,car,13.790771761600253,3.6524737566881926,-4.0574718875993,-0.03327548536443472,4.5,1.8,0.0,15.0,0.0,
0,3,0.30000000000000004,1,pedestrian,69.84083171143322,5.949308482468422,-4.939255376774305,0.0435714388974095,0.5,0.5,0.0,15.0,0.0,
0,3,0.30000000000000004,2,car,98.19701973913516,3.0348313500193465,22.854228982935105,0.014455969934499208,4.5,1.8,0.0,15.0,0.0,
0,4,0.4,0,car,13.448153395424177,3.506758174702626,-4.073455448417166,-0.023518632714639776,4.5,1.8,0.0,15.0,0.0,
0,4,0.4,1,pedestrian,69.28301838893147,5.921794257345754,-4.864508311212585,-0.043291555784662164,0.5,0.5,0.0,15.0,0.0,
0,4,0.4,2,car,100.57927047288781,2.866544372857766,22.837484731435815,0.00813765325525028,4.5,1.8,0.0,15.0,0.0,
